question_en,question_ar,answer_en,answer_ar,keywords_en,keywords_ar
"Tell me about Flight Dispatch","أخبرني عن إرسال الرحلات","The Flight Dispatch program at QAA operates per ICAO Doc 10106 and QCAA regulations. The program duration is approximately 6 months. Flight dispatchers are considered 'pilots on the ground'. Responsibilities include fuel calculations, weather monitoring, and safety compliance. The curriculum includes Electronic Flight Bags (EFB) and advanced flight planning software. Instructors must hold a Licensed Dispatcher certification from ICAO with at least 5 years operational experience.","برنامج إرسال الرحلات في الأكاديمية يعمل وفقاً لوثيقة ICAO 10106 ولوائح هيئة الطيران المدني القطرية. مدة البرنامج حوالي 6 أشهر. يعتبر مرسلو الرحلات 'طيارين على الأرض'. المسؤوليات تشمل حسابات الوقود ومراقبة الطقس والامتثال للسلامة.","flight, dispatch, dispatcher, operations","إرسال, رحلات, عمليات"
"Tell me about Airport Operations Management","أخبرني عن إدارة عمليات المطارات","The Airport Operations Management program at QAA is a 6-month course that prepares students for managing large-scale aviation hubs. It provides foundational knowledge for airline operations, including theoretical coursework and on-the-job training with airlines. The program is focused on logistics and safety challenges and is aligned with Hamad International Airport standards. It awards diplomas from IATA, ATI, and QAA.","برنامج إدارة عمليات المطارات في الأكاديمية هو دورة مدتها 6 أشهر تعد الطلاب لإدارة مراكز الطيران الكبيرة. يوفر المعرفة الأساسية لعمليات الطيران بما في ذلك الدراسة النظرية والتدريب العملي مع شركات الطيران. البرنامج يركز على التحديات اللوجستية والسلامة ومتوافق مع معايير مطار حمد الدولي.","airport, operations, management, logistics","مطار, عمليات, إدارة"
"What are the course fees at QAA?","ما هي رسوم الدورات في أكاديمية قطر للطيران؟","Course fees at QAA vary by program. Approximate annual tuition fees are: Aviation Management - $15,000/year, Aeronautical Engineering - $17,000/year, Air Traffic Management - $16,000/year, Aviation Maintenance - $16,500/year, Avionics Engineering - $17,500/year. The registration and placement test fee is QR 300 (non-refundable). Qatari nationals may be eligible for full tuition scholarships. For exact current fees, please contact the admissions office at +974 4440 8873 or email Info@qaa.edu.qa as fees are subject to change.","تختلف رسوم الدورات في الأكاديمية حسب البرنامج. الرسوم الدراسية السنوية التقريبية هي: إدارة الطيران - 15,000 دولار/سنة، الهندسة الجوية - 17,000 دولار/سنة، إدارة الحركة الجوية - 16,000 دولار/سنة، صيانة الطيران - 16,500 دولار/سنة. رسوم التسجيل واختبار التحديد 300 ريال قطري (غير قابلة للاسترداد). للرسوم الدقيقة الحالية يرجى الاتصال بمكتب القبول.","fees, cost, tuition, price, payment, how much","رسوم, تكلفة, سعر, دفع, كم"
"How much does pilot training cost?","كم تكلفة تدريب الطيران؟","Pilot training at QAA falls under the Aeronautical Engineering category with approximate tuition of $17,000 per year. The full MPL program takes approximately 18-22 months. Qatari nationals may be eligible for the Qatar Airways Cadet Pilot Programme which is fully sponsored. The registration fee is QR 300 (non-refundable). For exact current fees and payment plans, please contact the admissions office at +974 4440 8873 or email Info@qaa.edu.qa.","تدريب الطيران في الأكاديمية يندرج تحت فئة الهندسة الجوية بتكلفة تقريبية 17,000 دولار سنوياً. برنامج MPL الكامل يستغرق حوالي 18-22 شهراً. المواطنون القطريون قد يكونون مؤهلين لبرنامج الطيار المتدرب من الخطوط الجوية القطرية الممول بالكامل. رسوم التسجيل 300 ريال قطري. للرسوم الدقيقة يرجى الاتصال بمكتب القبول.","pilot, training, cost, fees, price, tuition","طيار, تدريب, تكلفة, رسوم"
"Are there scholarships available?","هل تتوفر منح دراسية؟","Yes, QAA offers several scholarship options: 1) Merit-Based - up to 50% tuition based on academic achievement. 2) Need-Based - varies based on financial need. 3) Aviation Industry - partial to full for those with aviation background. 4) International Student - up to 30% tuition. 5) Women in Aviation - up to 40% tuition for female students. 6) Qatari Nationals - full tuition scholarship for Qatari citizens. 7) Corporate Sponsorships - partial to full for employees of partner airlines/companies. 8) Qatar Airways Cadet Pilot Programme - fully funded for Qatari nationals. For details, contact admissions at +974 4440 8873.","نعم، تقدم الأكاديمية عدة خيارات للمنح الدراسية: 1) منح الجدارة - حتى 50% من الرسوم. 2) منح الحاجة المالية. 3) منح صناعة الطيران. 4) منح الطلاب الدوليين - حتى 30%. 5) منح المرأة في الطيران - حتى 40%. 6) منح المواطنين القطريين - كاملة. 7) رعاية الشركات. 8) برنامج الطيار المتدرب من الخطوط القطرية - ممول بالكامل للقطريين.","scholarship, grant, financial aid, funding, sponsorship","منحة, دراسية, تمويل, رعاية"
"How do I apply to QAA?","كيف أتقدم للأكاديمية؟","To apply to QAA: 1) Submit your application in person at the Registration Department, Al Khulaifat Area, Doha. 2) You can only submit one application for one program. 3) Required documents: copies of applicant ID and passport, guardian ID, 4 passport-size photos (blue background). 4) Pay the registration and placement test fee of QR 300 (non-refundable). 5) Take the mandatory placement test. 6) If shortlisted, attend a personal interview. 7) Complete medical examination based on your specialization. 8) Obtain security clearance (Police Clearance Certificate). Intake periods: Fall (September) and Spring (January). Contact admissions at +974 4440 8873.","للتقدم للأكاديمية: 1) قدم طلبك شخصياً في قسم التسجيل بمنطقة الخليفات بالدوحة. 2) يمكنك تقديم طلب واحد فقط لبرنامج واحد. 3) المستندات المطلوبة: نسخ من بطاقة الهوية وجواز السفر وهوية الولي و4 صور شخصية بخلفية زرقاء. 4) دفع رسوم التسجيل 300 ريال قطري. 5) اجتياز اختبار تحديد المستوى. 6) حضور مقابلة شخصية. 7) إجراء الفحص الطبي. 8) الحصول على تصريح أمني.","apply, application, admission, register, how to","تقدم, طلب, قبول, تسجيل, كيف"
"What are the admission requirements?","ما هي متطلبات القبول؟","General admission requirements for QAA: 1) High school diploma or equivalent with minimum 70% grade (varies by program; pilot training requires higher math/science grades). 2) Copies of applicant ID and passport. 3) Copy of guardian ID or passport. 4) 4 passport-size photos with blue background. 5) Registration fee of QR 300 (non-refundable). 6) Pass the mandatory placement test. 7) English proficiency (IELTS 5.5 minimum for undergraduate programs). 8) Medical examination specific to your specialization (e.g., Class I Medical for pilots). 9) Police clearance certificate within the State of Qatar. Final-year high school students may apply with first-semester results but must supply final proof by deadline.","متطلبات القبول العامة: 1) شهادة الثانوية العامة بحد أدنى 70%. 2) نسخ من بطاقة الهوية وجواز السفر. 3) نسخة من هوية الولي. 4) 4 صور شخصية بخلفية زرقاء. 5) رسوم التسجيل 300 ريال قطري. 6) اجتياز اختبار تحديد المستوى. 7) إجادة اللغة الإنجليزية (IELTS 5.5 كحد أدنى). 8) فحص طبي حسب التخصص. 9) شهادة حسن سيرة وسلوك.","requirements, admission, eligibility, documents, grades","متطلبات, قبول, أهلية, وثائق, درجات"
"What documents are needed for admission?","ما هي المستندات المطلوبة للقبول؟","Required documents for QAA admission: 1) Copy of applicant's ID card and passport. 2) Copy of guardian's ID or passport. 3) 4 passport-size photos with blue background. 4) High school diploma or equivalent certificate. 5) Registration fee of QR 300 (non-refundable). For international applicants, additional documents include: certified copies of 6th, 9th, and 12th grade certificates (certified by Ministry of Education, Ministry of Foreign Affairs, and Qatari Embassy in home country), and a police clearance certificate from home country (also certified and approved).","المستندات المطلوبة للقبول: 1) نسخة من بطاقة هوية المتقدم وجواز السفر. 2) نسخة من هوية الولي. 3) 4 صور شخصية بخلفية زرقاء. 4) شهادة الثانوية العامة. 5) رسوم التسجيل 300 ريال قطري. للمتقدمين الدوليين: نسخ مصدقة من شهادات الصف السادس والتاسع والثاني عشر، وشهادة حسن سيرة وسلوك من بلد المتقدم.","documents, papers, required, needed, ID, passport","مستندات, أوراق, مطلوبة, هوية, جواز"
"What are the requirements for international students?","ما هي متطلبات الطلاب الدوليين؟","International applicants to QAA must: 1) Provide certified certificates from 6th, 9th, and 12th grades, certified by: Ministry of Education (home country), Ministry of Foreign Affairs (home country), and Qatari Embassy in home country. 2) Provide a police clearance certificate from home country, certified and approved by Ministry of Foreign Affairs and Qatari Embassy. 3) Attend a personal interview. 4) Meet the general admission requirements (high school diploma with 70% minimum, English proficiency). 5) Complete medical examination. 6) Apply for student visa after acceptance.","يجب على المتقدمين الدوليين: 1) تقديم شهادات مصدقة من الصف السادس والتاسع والثاني عشر، مصدقة من وزارة التعليم ووزارة الخارجية والسفارة القطرية. 2) تقديم شهادة حسن سيرة وسلوك مصدقة. 3) حضور مقابلة شخصية. 4) استيفاء متطلبات القبول العامة. 5) إجراء الفحص الطبي. 6) التقدم للحصول على تأشيرة طالب.","international, foreign, overseas, student, visa","دولي, أجنبي, طالب, تأشيرة"
"What is the registration fee?","ما هي رسوم التسجيل؟","The registration and placement test fee at QAA is QR 300 (approximately $82 USD). This fee is non-refundable and covers the mandatory placement test that assesses academic readiness. This fee is required at the time of application submission.","رسوم التسجيل واختبار تحديد المستوى في الأكاديمية هي 300 ريال قطري (حوالي 82 دولار أمريكي). هذه الرسوم غير قابلة للاسترداد وتغطي اختبار تحديد المستوى الإلزامي الذي يقيم الاستعداد الأكاديمي.","registration, fee, cost, QR 300, placement test","تسجيل, رسوم, تكلفة, اختبار"
"What is the Cadet Pilot Programme?","ما هو برنامج الطيار المتدرب؟","The Qatar Airways Cadet Pilot Programme is a fully funded scholarship for Qatari nationals and sons/daughters of Qatari mothers to obtain a QCAA Multi-Crew Pilot License. Requirements: Qatari national (or mother is Qatari), aged 18-26, high school certificate with 75% minimum (Science Stream), IELTS band score of 4.5 minimum (attained in last 24 months), able to obtain QCAA Class 1 medical, police clearance. Training includes up to 1 year foundation studies and approximately 18 months MPL program. Training is conducted at QAA in Doha. A guarantor who is a Qatari national is required.","برنامج الطيار المتدرب من الخطوط الجوية القطرية هو منحة ممولة بالكامل للمواطنين القطريين وأبناء الأمهات القطريات للحصول على رخصة طيار متعدد الطاقم. المتطلبات: جنسية قطرية، العمر 18-26 سنة، شهادة ثانوية بنسبة 75% كحد أدنى (تخصص علمي)، IELTS 4.5 كحد أدنى، القدرة على الحصول على فحص طبي من الدرجة الأولى.","cadet, pilot, programme, Qatar Airways, scholarship, sponsored","متدرب, طيار, برنامج, خطوط قطرية, منحة"
"Where is QAA located?","أين تقع أكاديمية قطر للطيران؟","QAA is located in Al Khulaifat Area, Doha, Qatar. The full address is: Qatar Aeronautical Academy, Ras AbuAbboud EXPY, Al Khulaifat, P.O. Box 4050, Doha, Qatar. The academy is strategically positioned between Doha International Airport and Hamad International Airport, approximately 15 minutes from Hamad International Airport. QAA operates from two locations: the main campus in Al Khulaifat and an air-side facility at Doha International Airport covering 28,000 square meters for flight training and aircraft maintenance.","تقع الأكاديمية في منطقة الخليفات بالدوحة، قطر. العنوان الكامل: أكاديمية قطر للطيران، طريق رأس أبو عبود السريع، الخليفات، ص.ب. 4050، الدوحة، قطر. تقع الأكاديمية في موقع استراتيجي بين مطار الدوحة الدولي ومطار حمد الدولي. تعمل من موقعين: الحرم الرئيسي في الخليفات ومنشأة جانب المدرج في مطار الدوحة الدولي.","location, address, where, campus, map, Al Khulaifat","موقع, عنوان, أين, حرم, الخليفات"
"How can I contact QAA?","كيف يمكنني الاتصال بالأكاديمية؟","You can contact Qatar Aeronautical Academy through: Phone (Local): +974 4440 8888. Phone (International): +974 4440 8873. Admissions Hotline: +974 4440 8873 / 4440 8858 / 4440 8869. Email: Info@qaa.edu.qa (response within 24 hours). Mailing Address: Qatar Aeronautical Academy, P.O. Box 4050, Doha, Qatar. You can also visit the campus in person at Al Khulaifat Area, Doha. The academy is also active on Facebook, Instagram, Twitter, YouTube, and LinkedIn.","يمكنك الاتصال بالأكاديمية عبر: الهاتف المحلي: +974 4440 8888. الهاتف الدولي: +974 4440 8873. خط القبول: +974 4440 8873 / 4440 8858 / 4440 8869. البريد الإلكتروني: Info@qaa.edu.qa (الرد خلال 24 ساعة). العنوان البريدي: أكاديمية قطر للطيران، ص.ب. 4050، الدوحة، قطر.","contact, phone, email, call, reach","اتصال, هاتف, بريد, تواصل"
"What are the campus facilities?","ما هي مرافق الحرم الجامعي؟","QAA campus facilities include: Administration and departmental offices. Classrooms with the latest educational technology. Specialized workshops for engineering students. Technical library with aviation resources. Examination and Testing Centres for IELTS, OET, LINGUASKILLS, and academic exams. Student cafeteria and snack bars. Modern computer labs with specialized software. Simulator Center (A320 simulator, DA40 and DA42 FNPT 2 simulators). On-campus health clinic. Academic and personal counseling services. The air-side facility at Doha International Airport covers 28,000 square meters for flight training and aircraft maintenance.","مرافق الحرم الجامعي تشمل: مكاتب إدارية. فصول دراسية بأحدث التقنيات التعليمية. ورش عمل متخصصة لطلاب الهندسة. مكتبة تقنية. مراكز اختبار لـ IELTS وOET. كافتيريا. مختبرات حاسوب. مركز المحاكاة (محاكي A320 ومحاكيات DA40 وDA42). عيادة صحية. خدمات إرشاد أكاديمي.","facilities, campus, library, cafeteria, labs","مرافق, حرم, مكتبة, كافتيريا, مختبرات"
"What aircraft does QAA have?","ما هي الطائرات المتوفرة في الأكاديمية؟","QAA maintains one of the most modern training fleets in the region (oldest aircraft under 7 years old): 10 Diamond DA40 (single-engine) for initial and instrument flight training. 4 Diamond DA42 (twin-engine) for multi-engine ratings and advanced navigation. Retired aircraft used for maintenance training: Falcon 20, Piper Navajo, Piper Seneca. The academy also has Piper PA28 (single-engine) and Piper PA34 (twin-engine) as complementary training platforms.","تمتلك الأكاديمية أسطولاً من أحدث طائرات التدريب في المنطقة: 10 طائرات دايموند DA40 (محرك واحد) للتدريب الأولي. 4 طائرات دايموند DA42 (محركين) للتصنيفات متعددة المحركات. طائرات متقاعدة للتدريب على الصيانة: فالكون 20، بايبر نافاجو، بايبر سينيكا. كما تمتلك بايبر PA28 وPA34 كمنصات تدريب تكميلية.","aircraft, fleet, planes, DA40, DA42, Diamond, Piper","طائرات, أسطول, دايموند, بايبر"
"What simulators does QAA have?","ما هي أجهزة المحاكاة المتوفرة؟","QAA has the following simulators: 1) A320 FFTX Fixed Base Simulator - EASA Level 2 certified, built by TRU Simulation + Training, featuring motion-cueing seats, smoke generation, and 40 x 200 degree field of view. Used for Airbus A320 type-specific training. 2) DA40 FNPT 2 - Flight Navigation Procedure Trainer with Garmin 1000 glass cockpit and 35 x 200 degree field of view. 3) DA42 FNPT 2 - Similar Diamond-built trainer for twin-engine procedures. 4) 12-place FMGS training classroom. 5) SE and ME Synthetic Devices - single-engine and multi-engine simulators for initial flight training. 6) Procedural Trainers for cockpit layout and system interaction familiarization.","أجهزة المحاكاة المتوفرة: 1) محاكي A320 الثابت - معتمد من EASA المستوى 2 بمجال رؤية 40 × 200 درجة. 2) DA40 FNPT 2 - مدرب إجراءات الملاحة بقمرة قيادة زجاجية Garmin 1000. 3) DA42 FNPT 2 - مدرب للإجراءات ثنائية المحرك. 4) فصل تدريب FMGS بـ 12 مقعداً. 5) أجهزة اصطناعية للتدريب الأولي.","simulator, A320, FNPT, training device","محاكي, محاكاة, جهاز, تدريب"
"Does QAA offer English language courses?","هل تقدم الأكاديمية دورات لغة إنجليزية؟","Yes, QAA offers comprehensive English language programs: 1) General English (11-12 weeks, minimum IELTS 5.5). 2) English for Aviation - covering aviation phraseology and terminology. 3) Academic English. These programs prepare students for ICAO Language Proficiency Requirements (LPRs). Instructors hold MA in TESOL, CELTA, or DELTA certifications with at least 5 years teaching experience. QAA is also an approved IDP IELTS Training and Testing Center where students can take the IELTS exam. IELTS preparation courses are available for candidates aiming for band scores between 5.5 and 9.","نعم، تقدم الأكاديمية برامج لغة إنجليزية شاملة: 1) اللغة الإنجليزية العامة (11-12 أسبوعاً). 2) الإنجليزية للطيران - تغطي المصطلحات الجوية. 3) الإنجليزية الأكاديمية. هذه البرامج تعد الطلاب لمتطلبات إجادة اللغة من ICAO. الأكاديمية أيضاً مركز معتمد لاختبار IELTS.","English, language, IELTS, course, test","إنجليزية, لغة, اختبار, دورة"
"What is the Foundation Program?","ما هو البرنامج التأسيسي؟","The Foundation Program at QAA prepares students for their main academic programs and includes: 1) Physics - from general physics to aviation-specific technical physics. 2) Mathematics - tailored for pilot training and maintenance engineering. 3) English Language - 11-12 weeks General English course. The program provides the theoretical basis for aerodynamics, propulsion systems, and structural mechanics. The Foundation Department handles approximately 400 students yearly. Duration is about 12 weeks for technical subjects. This program is required before entering the main academic programs if students do not meet the prerequisite levels.","البرنامج التأسيسي في الأكاديمية يعد الطلاب لبرامجهم الأكاديمية الرئيسية ويشمل: 1) الفيزياء - من الفيزياء العامة إلى الفيزياء التقنية للطيران. 2) الرياضيات - مصممة لتدريب الطيارين وهندسة الصيانة. 3) اللغة الإنجليزية - دورة 11-12 أسبوعاً. يقدم القسم التأسيسي حوالي 400 طالب سنوياً. مدة المواد التقنية حوالي 12 أسبوعاً.","foundation, preparatory, physics, math, basic","تأسيسي, تحضيري, فيزياء, رياضيات"
"What ICAO short courses does QAA offer?","ما هي دورات ICAO القصيرة التي تقدمها الأكاديمية؟","As a Full Member of the ICAO TRAINAIR PLUS Program, QAA offers short courses across nine key areas: 1) Aerodromes. 2) Air Navigation Services. 3) Air Transport. 4) Aviation Law. 5) Environment. 6) Flight Safety and Safety Management. 7) Security and Facilitation. 8) Training Competency Development. 9) Aviation Management. Specific courses include: Cross Cultural Awareness Skills for Immigration Officers (5 days), Introduction to Aeronautical Meteorological Observations (10 days), Occupational Safety and Health Emergency Response (3 days, virtual), Operational Flight Planning (5 days), Radio Telephony Communication for Airside Safety Operators (5 days).","كعضو كامل في برنامج ICAO TRAINAIR PLUS، تقدم الأكاديمية دورات قصيرة في تسعة مجالات رئيسية: 1) المطارات. 2) خدمات الملاحة الجوية. 3) النقل الجوي. 4) قانون الطيران. 5) البيئة. 6) سلامة الطيران. 7) الأمن والتسهيلات. 8) تطوير كفاءات التدريب. 9) إدارة الطيران.","ICAO, short courses, TRAINAIR, training","دورات, قصيرة, تدريب"
"Does QAA have accommodation or housing?","هل توفر الأكاديمية سكن؟","QAA offers several accommodation options for students: On-Campus Dormitory: approximately $5,000-$7,000 per year. Single Room: approximately $7,000-$9,000 per year. Shared Room: approximately $5,000-$6,500 per year. Off-Campus Housing: approximately $8,000-$12,000 per year. Meal Plans are available at approximately $3,000-$4,000 per year. Shuttle transportation is available at $500-$1,000 per year. For current availability and pricing, please contact the admissions office.","توفر الأكاديمية عدة خيارات للسكن: سكن داخلي: حوالي 5,000-7,000 دولار سنوياً. غرفة فردية: 7,000-9,000 دولار. غرفة مشتركة: 5,000-6,500 دولار. سكن خارجي: 8,000-12,000 دولار. خطط الوجبات: 3,000-4,000 دولار. النقل: 500-1,000 دولار. للتوافر والأسعار الحالية يرجى الاتصال بمكتب القبول.","accommodation, housing, dormitory, room, hostel","سكن, إقامة, غرفة, نزل"
"What are the intake periods?","ما هي فترات القبول؟","QAA has two main intake periods: Fall Intake - September. Spring Intake - January. Applications should be submitted well in advance of the intake period. Contact the admissions office at +974 4440 8873 for specific application deadlines for each intake period.","لدى الأكاديمية فترتا قبول رئيسيتان: القبول الخريفي - سبتمبر. القبول الربيعي - يناير. يجب تقديم الطلبات قبل فترة القبول بوقت كافٍ. اتصل بمكتب القبول على +974 4440 8873 للمواعيد النهائية المحددة.","intake, semester, when, start, begin, September, January","فترة, قبول, فصل, بداية, سبتمبر, يناير"
